"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[7] Pitcher",0.129105625253333,0.1280625,0.126724601043804,11068.6,0.95,0.0885201,0.170047,NA,NA,NA,NA,NA,NA,NA
"mu[8] Right Field",0.243572811066667,0.2430855,0.243177364351193,15000,0.95,0.194799,0.294166,NA,NA,NA,NA,NA,NA,NA
"mu[9] Shortstop",0.266609002333333,0.2664105,0.264231454454495,15000,0.95,0.236645,0.29743,NA,NA,NA,NA,NA,NA,NA
"mu[10] NA",0.277486569,0.277305,0.276720824861941,15000,0.95,0.247572,0.308538,NA,NA,NA,NA,NA,NA,NA
"mu[11] NA",0.12952134538,0.1284825,0.12372800826868,12845.5,0.95,0.0898143,0.171817,NA,NA,NA,NA,NA,NA,NA
"mu[12] NA",0.248913715266667,0.24893,0.249069864959904,15000,0.95,0.218255,0.278426,NA,NA,NA,NA,NA,NA,NA
"mu[13] NA",0.245225075066667,0.2449875,0.244674703112594,15000,0.95,0.208765,0.280598,NA,NA,NA,NA,NA,NA,NA
"mu[14] NA",0.2419951088,0.2413765,0.239141681451319,14275.5,0.95,0.190894,0.292196,NA,NA,NA,NA,NA,NA,NA
"mu[15] NA",0.248311430266667,0.247939,0.248026404002149,15256.2,0.95,0.198395,0.299743,NA,NA,NA,NA,NA,NA,NA
"mu[16] NA",0.227524836133333,0.2272815,0.226731452407949,15000,0.95,0.196651,0.261504,NA,NA,NA,NA,NA,NA,NA
"mu[17] NA",0.275082687666667,0.27476,0.272154524125214,16067.8,0.95,0.245988,0.304392,NA,NA,NA,NA,NA,NA,NA
"mu[18] NA",0.247564768333333,0.24711,0.246299261221794,15000,0.95,0.206743,0.28886,NA,NA,NA,NA,NA,NA,NA
"mu[19] NA",0.278428491733333,0.278174,0.276369134955864,15000,0.95,0.247987,0.311002,NA,NA,NA,NA,NA,NA,NA
"mu[20] NA",0.128396977786667,0.127312,0.126505961604714,11662.9,0.95,0.0878135,0.168783,NA,NA,NA,NA,NA,NA,NA
"mu[21] NA",0.237066597133333,0.2367845,0.2350117504815,15000,0.95,0.204387,0.271349,NA,NA,NA,NA,NA,NA,NA
"mu[22] NA",0.2647763374,0.2644765,0.262539058730484,15000,0.95,0.22861,0.300006,NA,NA,NA,NA,NA,NA,NA
"mu[23] NA",0.12855559826,0.1275605,0.127652424272525,13288.7,0.95,0.0900038,0.169945,NA,NA,NA,NA,NA,NA,NA
"mu[24] NA",0.132197027906667,0.1312205,0.130220424073768,12651.2,0.95,0.094542,0.168791,NA,NA,NA,NA,NA,NA,NA
"mu[25] NA",0.245178651733333,0.244788,0.247882315302087,15000,0.95,0.203061,0.291781,NA,NA,NA,NA,NA,NA,NA
"mu[26] NA",0.242000664266667,0.2417215,0.241845735120013,15000,0.95,0.209228,0.275905,NA,NA,NA,NA,NA,NA,NA
"mu[27] NA",0.13212392836,0.1313385,0.126358980564489,11598.1,0.95,0.0936118,0.175341,NA,NA,NA,NA,NA,NA,NA
"mu[28] NA",0.2498638022,0.249632,0.250322637230698,14715.5,0.95,0.221097,0.281534,NA,NA,NA,NA,NA,NA,NA
"mu[29] NA",0.1296369063,0.12861,0.126131085424452,12497.4,0.95,0.0893724,0.170328,NA,NA,NA,NA,NA,NA,NA
"mu[30] NA",0.275917824533333,0.2756735,0.274044348861374,15000,0.95,0.244292,0.30625,NA,NA,NA,NA,NA,NA,NA
"mu[31] NA",0.129614277753333,0.128784,0.125493312712739,11911.2,0.95,0.0904076,0.17164,NA,NA,NA,NA,NA,NA,NA
"mu[32] NA",0.126700493893333,0.125751,0.123795334079024,12052.8,0.95,0.092549,0.163989,NA,NA,NA,NA,NA,NA,NA
"mu[33] NA",0.2516036324,0.251093,0.249427309568673,16457.8,0.95,0.214217,0.294363,NA,NA,NA,NA,NA,NA,NA
"mu[34] NA",0.2402250336,0.2398245,0.237354246645829,15000,0.95,0.201934,0.277636,NA,NA,NA,NA,NA,NA,NA
"mu[35] NA",0.129469780366667,0.128301,0.126088944975928,11736.3,0.95,0.0899136,0.171725,NA,NA,NA,NA,NA,NA,NA
"mu[36] NA",0.2222898712,0.2221075,0.224793723982884,15245.7,0.95,0.189099,0.25624,NA,NA,NA,NA,NA,NA,NA
"mu[37] NA",0.128795733993333,0.1278905,0.123061815938388,12392.8,0.95,0.0893442,0.169488,NA,NA,NA,NA,NA,NA,NA
"mu[38] NA",0.2363204634,0.236177,0.236395465959232,15000,0.95,0.205137,0.267695,NA,NA,NA,NA,NA,NA,NA
"mu[39] NA",0.2442303636,0.2438185,0.243852310206712,15000,0.95,0.201212,0.289532,NA,NA,NA,NA,NA,NA,NA
"mu[40] NA",0.252688247133333,0.252582,0.254666730812959,15000,0.95,0.223008,0.282746,NA,NA,NA,NA,NA,NA,NA
"mu[41] NA",0.222110338,0.2216725,0.220344057182286,15000,0.95,0.179268,0.267564,NA,NA,NA,NA,NA,NA,NA
"mu[42] NA",0.239585457733333,0.239246,0.240584250098407,15375.9,0.95,0.198486,0.283958,NA,NA,NA,NA,NA,NA,NA
"mu[43] NA",0.13007012528,0.129085,0.124799799930312,12140.3,0.95,0.090766,0.168814,NA,NA,NA,NA,NA,NA,NA
"mu[44] NA",0.127218038246667,0.126409,0.126609763079764,10932.8,0.95,0.0870908,0.16863,NA,NA,NA,NA,NA,NA,NA
"mu[45] NA",0.12796931354,0.127088,0.124204106888781,13241.3,0.95,0.0868698,0.168306,NA,NA,NA,NA,NA,NA,NA
"mu[46] NA",0.249712234333333,0.249334,0.248346444008233,15000,0.95,0.215215,0.284932,NA,NA,NA,NA,NA,NA,NA
"mu[47] NA",0.261033069466667,0.2607805,0.260430926929239,15000,0.95,0.220231,0.301113,NA,NA,NA,NA,NA,NA,NA
"mu[48] NA",0.2158533034,0.215572,0.215354046498244,14353.1,0.95,0.177888,0.254063,NA,NA,NA,NA,NA,NA,NA
"mu[49] NA",0.134807135426667,0.1339375,0.132678690798244,11889.1,0.95,0.0951416,0.174134,NA,NA,NA,NA,NA,NA,NA
"mu[50] NA",0.129027178266667,0.128138,0.128682649039465,12149.8,0.95,0.0892058,0.170797,NA,NA,NA,NA,NA,NA,NA
"mu[51] NA",0.1239011972,0.123061,0.119576066431423,13008,0.95,0.0871058,0.16424,NA,NA,NA,NA,NA,NA,NA
"mu[52] NA",0.240026786933333,0.239784,0.238977627426505,15000,0.95,0.210423,0.270393,NA,NA,NA,NA,NA,NA,NA
"mu[53] NA",0.1272113473,0.1264085,0.12245730589481,11503.2,0.95,0.0899619,0.165659,NA,NA,NA,NA,NA,NA,NA
"mu[54] NA",0.128226525273333,0.127229,0.123388209824151,11950.1,0.95,0.0881849,0.168877,NA,NA,NA,NA,NA,NA,NA
"mu[55] NA",0.2450697014,0.2444725,0.242483142233131,15000,0.95,0.199157,0.29418,NA,NA,NA,NA,NA,NA,NA
"mu[56] NA",0.12932783898,0.128368,0.128927083732365,11814.5,0.95,0.0875265,0.169954,NA,NA,NA,NA,NA,NA,NA
"mu[57] NA",0.2665757634,0.266349,0.267025484401165,15000,0.95,0.233853,0.299832,NA,NA,NA,NA,NA,NA,NA
"mu[58] NA",0.265758133133333,0.2654225,0.264466358649681,14522.8,0.95,0.23494,0.296042,NA,NA,NA,NA,NA,NA,NA
"mu[59] NA",0.301502244533333,0.30128,0.301343785484584,15000,0.95,0.271736,0.332927,NA,NA,NA,NA,NA,NA,NA
"mu[60] NA",0.129372996013333,0.1286045,0.128365548327316,12626.6,0.95,0.0900007,0.170581,NA,NA,NA,NA,NA,NA,NA
"mu[61] NA",0.127229283993333,0.126459,0.124837415735899,12141.2,0.95,0.0879187,0.167525,NA,NA,NA,NA,NA,NA,NA
"mu[62] NA",0.255113892666667,0.2546895,0.257222816031004,15000,0.95,0.209528,0.300593,NA,NA,NA,NA,NA,NA,NA
"mu[63] NA",0.2696338654,0.2693985,0.270062588497132,15000,0.95,0.230417,0.308924,NA,NA,NA,NA,NA,NA,NA
"mu[64] NA",0.2551709756,0.254897,0.251172239457857,15500.9,0.95,0.218976,0.291388,NA,NA,NA,NA,NA,NA,NA
"mu[65] NA",0.240865946666667,0.2405245,0.241143221250714,15000,0.95,0.2027,0.27922,NA,NA,NA,NA,NA,NA,NA
"mu[66] NA",0.2599463742,0.259592,0.258762102021451,15000,0.95,0.225896,0.295335,NA,NA,NA,NA,NA,NA,NA
"mu[67] NA",0.237274769933333,0.2369195,0.237943001091263,15000,0.95,0.192305,0.283603,NA,NA,NA,NA,NA,NA,NA
"mu[68] NA",0.13792541002,0.137068,0.136471767539269,12384.6,0.95,0.100247,0.178642,NA,NA,NA,NA,NA,NA,NA
"mu[69] NA",0.243662391133333,0.2430465,0.238750899893809,15000,0.95,0.199462,0.28942,NA,NA,NA,NA,NA,NA,NA
"mu[70] NA",0.12905037916,0.1279715,0.125278745117556,11899,0.95,0.0890529,0.171164,NA,NA,NA,NA,NA,NA,NA
"mu[71] NA",0.12904462116,0.1281765,0.126863641908454,12285.8,0.95,0.0898885,0.17031,NA,NA,NA,NA,NA,NA,NA
"mu[72] NA",0.2663591112,0.265856,0.266695908433335,15000,0.95,0.223781,0.312252,NA,NA,NA,NA,NA,NA,NA
"mu[73] NA",0.250526102266667,0.2504575,0.251551130872655,14522.4,0.95,0.216847,0.282555,NA,NA,NA,NA,NA,NA,NA
"mu[74] NA",0.231133351733333,0.230671,0.226642325621093,15000,0.95,0.185605,0.276822,NA,NA,NA,NA,NA,NA,NA
"mu[75] NA",0.2531430182,0.252746,0.253832906340702,15000,0.95,0.202958,0.306303,NA,NA,NA,NA,NA,NA,NA
"mu[76] NA",0.12034302548,0.11964,0.117431648381197,10493.9,0.95,0.0850137,0.157128,NA,NA,NA,NA,NA,NA,NA
"mu[77] NA",0.278090616933333,0.277971,0.278848250768923,15000,0.95,0.241483,0.313795,NA,NA,NA,NA,NA,NA,NA
"mu[78] NA",0.247380389133333,0.2468055,0.249331681386441,15000,0.95,0.200562,0.299048,NA,NA,NA,NA,NA,NA,NA
"mu[79] NA",0.247683907133333,0.247443,0.248068548753709,15000,0.95,0.216151,0.278313,NA,NA,NA,NA,NA,NA,NA
"mu[80] NA",0.227539743,0.2272815,0.230280440638257,15961.3,0.95,0.194234,0.261136,NA,NA,NA,NA,NA,NA,NA
"mu[81] NA",0.2585021476,0.2582705,0.258978940185289,15000,0.95,0.221354,0.296423,NA,NA,NA,NA,NA,NA,NA
"mu[82] NA",0.240196992466667,0.239719,0.241426617378147,15765.8,0.95,0.190924,0.291551,NA,NA,NA,NA,NA,NA,NA
"mu[83] NA",0.258816531933333,0.258402,0.260920082154227,15000,0.95,0.212467,0.306727,NA,NA,NA,NA,NA,NA,NA
"mu[84] NA",0.2441973754,0.2438165,0.240638017819158,15000,0.95,0.20348,0.284023,NA,NA,NA,NA,NA,NA,NA
"mu[85] NA",0.269331172,0.269191,0.269500625448623,14985.4,0.95,0.240806,0.298831,NA,NA,NA,NA,NA,NA,NA
"mu[86] NA",0.1290847166,0.128382,0.130833131204014,12266.9,0.95,0.0905927,0.171165,NA,NA,NA,NA,NA,NA,NA
"mu[87] NA",0.129581466086667,0.1287325,0.129828225251065,13254.5,0.95,0.0900936,0.171369,NA,NA,NA,NA,NA,NA,NA
"mu[88] NA",0.278132753133333,0.2779835,0.278336800440825,15000,0.95,0.246872,0.308834,NA,NA,NA,NA,NA,NA,NA
"mu[89] NA",0.2546180074,0.253877,0.251632048130373,15000,0.95,0.210789,0.29939,NA,NA,NA,NA,NA,NA,NA
"mu[90] NA",0.2982796238,0.2980885,0.298964746121703,14389.1,0.95,0.266929,0.328222,NA,NA,NA,NA,NA,NA,NA
"mu[91] NA",0.128442933066667,0.127506,0.123524828301501,12848.4,0.95,0.0877061,0.168393,NA,NA,NA,NA,NA,NA,NA
"mu[92] NA",0.238632749933333,0.238069,0.237023346447151,15271.1,0.95,0.189978,0.289006,NA,NA,NA,NA,NA,NA,NA
"mu[93] NA",0.12903120222,0.1280895,0.124712908558498,12111.5,0.95,0.0888888,0.170087,NA,NA,NA,NA,NA,NA,NA
"mu[94] NA",0.2515443546,0.251156,0.252450455703159,15000,0.95,0.208525,0.295889,NA,NA,NA,NA,NA,NA,NA
"mu[95] NA",0.2475434144,0.2469995,0.244812791767302,15000,0.95,0.198641,0.29716,NA,NA,NA,NA,NA,NA,NA
"mu[96] NA",0.2498331902,0.249696,0.251948771176227,15000,0.95,0.211202,0.289347,NA,NA,NA,NA,NA,NA,NA
"mu[97] NA",0.129540274933333,0.1286695,0.129991715562549,12898.2,0.95,0.0906922,0.171194,NA,NA,NA,NA,NA,NA,NA
"mu[98] NA",0.2544837826,0.254154,0.251545198846558,15000,0.95,0.22633,0.285566,NA,NA,NA,NA,NA,NA,NA
"mu[99] NA",0.129166921633333,0.128105,0.125516421609841,11317.1,0.95,0.0878334,0.169111,NA,NA,NA,NA,NA,NA,NA
"mu[100] NA",0.2142701648,0.2139765,0.213359442887959,14475.4,0.95,0.180456,0.246006,NA,NA,NA,NA,NA,NA,NA
"mu[101] NA",0.244436203,0.2441865,0.244633567614258,15000,0.95,0.196749,0.287907,NA,NA,NA,NA,NA,NA,NA
"mu[102] NA",0.1129842521,0.1122085,0.109468918607391,11813.2,0.95,0.0793517,0.148407,NA,NA,NA,NA,NA,NA,NA
"mu[103] NA",0.13644805368,0.1355595,0.133290330540872,12021.2,0.95,0.0997914,0.17433,NA,NA,NA,NA,NA,NA,NA
"mu[104] NA",0.117206780106667,0.116509,0.11605751621776,9965.5,0.95,0.0828533,0.152757,NA,NA,NA,NA,NA,NA,NA
"mu[105] NA",0.12922382952,0.128323,0.123110196233406,12699.7,0.95,0.0909444,0.171477,NA,NA,NA,NA,NA,NA,NA
"mu[106] NA",0.2383111118,0.23807,0.241584109752171,15000,0.95,0.19622,0.279633,NA,NA,NA,NA,NA,NA,NA
"mu[107] NA",0.2505432342,0.2500295,0.248194862502571,15000,0.95,0.200595,0.301278,NA,NA,NA,NA,NA,NA,NA
"mu[108] NA",0.2288399116,0.2283615,0.226527461528742,15000,0.95,0.188003,0.272575,NA,NA,NA,NA,NA,NA,NA
"mu[109] NA",0.294484014933333,0.2942875,0.295383793923548,14453.7,0.95,0.264824,0.325196,NA,NA,NA,NA,NA,NA,NA
"mu[110] NA",0.2420852484,0.2419365,0.241685640810097,15000,0.95,0.201574,0.284422,NA,NA,NA,NA,NA,NA,NA
"mu[111] NA",0.2632614692,0.263026,0.261910704018532,15000,0.95,0.231954,0.292625,NA,NA,NA,NA,NA,NA,NA
"mu[112] NA",0.129223047106667,0.128028,0.124420137494782,12366.8,0.95,0.0903757,0.171751,NA,NA,NA,NA,NA,NA,NA
"mu[113] NA",0.247499736733333,0.2470175,0.244956754171024,14131.6,0.95,0.215376,0.281548,NA,NA,NA,NA,NA,NA,NA
"mu[114] NA",0.311120756533333,0.3109515,0.310731409406331,13662.5,0.95,0.277394,0.345297,NA,NA,NA,NA,NA,NA,NA
"mu[115] NA",0.307963416866667,0.307603,0.306213483276453,15000,0.95,0.278578,0.338952,NA,NA,NA,NA,NA,NA,NA
"mu[116] NA",0.127973277946667,0.1272,0.123109815266248,12372.7,0.95,0.0929941,0.16572,NA,NA,NA,NA,NA,NA,NA
"mu[117] NA",0.2621478806,0.2618815,0.261686125639441,14537.5,0.95,0.223997,0.301431,NA,NA,NA,NA,NA,NA,NA
"mu[118] NA",0.13955139616,0.1387685,0.137282681888142,13799.7,0.95,0.10403,0.178454,NA,NA,NA,NA,NA,NA,NA
"mu[119] NA",0.2303153256,0.2298205,0.230021330989115,14439.2,0.95,0.190559,0.271729,NA,NA,NA,NA,NA,NA,NA
"mu[120] NA",0.253040277666667,0.2526565,0.25372552394579,14501.8,0.95,0.202746,0.304141,NA,NA,NA,NA,NA,NA,NA
"mu[121] NA",0.254073978066667,0.254063,0.255755784635519,14519.6,0.95,0.223366,0.286381,NA,NA,NA,NA,NA,NA,NA
"mu[122] NA",0.261033293,0.2604645,0.258802352532841,15000,0.95,0.221533,0.30383,NA,NA,NA,NA,NA,NA,NA
"mu[123] NA",0.293572851533333,0.293245,0.292757120620815,15000,0.95,0.264331,0.324255,NA,NA,NA,NA,NA,NA,NA
"mu[124] NA",0.256068242666667,0.255639,0.256144538730157,12471.3,0.95,0.211889,0.301796,NA,NA,NA,NA,NA,NA,NA
"mu[125] NA",0.123654171833333,0.122606,0.119711702528852,12382.4,0.95,0.0884774,0.159717,NA,NA,NA,NA,NA,NA,NA
"mu[126] NA",0.238792520666667,0.2382195,0.234056394861866,15000,0.95,0.19227,0.28485,NA,NA,NA,NA,NA,NA,NA
"mu[127] NA",0.239966709266667,0.239305,0.239132084996877,15301.6,0.95,0.189696,0.290253,NA,NA,NA,NA,NA,NA,NA
"mu[128] NA",0.237719087333333,0.237366,0.238208756478126,15000,0.95,0.198053,0.277621,NA,NA,NA,NA,NA,NA,NA
"mu[129] NA",0.130530385373333,0.129753,0.129834807854236,10778,0.95,0.0905121,0.170955,NA,NA,NA,NA,NA,NA,NA
"mu[130] NA",0.132484779446667,0.1315035,0.130707216696978,11488.2,0.95,0.0924964,0.175207,NA,NA,NA,NA,NA,NA,NA
"mu[131] NA",0.274632904866667,0.274222,0.272138554523612,15379.6,0.95,0.238612,0.312492,NA,NA,NA,NA,NA,NA,NA
"mu[132] NA",0.12967713174,0.128632,0.127880369054167,11810.6,0.95,0.0904614,0.171734,NA,NA,NA,NA,NA,NA,NA
"mu[133] NA",0.258941747533333,0.2585745,0.258127331837516,15345.4,0.95,0.216599,0.301352,NA,NA,NA,NA,NA,NA,NA
"mu[134] NA",0.256966970266667,0.256584,0.255050234299153,15133,0.95,0.204044,0.309576,NA,NA,NA,NA,NA,NA,NA
"mu[135] NA",0.261618924666667,0.2614265,0.261250473667121,15000,0.95,0.22939,0.292456,NA,NA,NA,NA,NA,NA,NA
"mu[136] NA",0.247411047466667,0.2471155,0.247487460094055,15000,0.95,0.199888,0.292324,NA,NA,NA,NA,NA,NA,NA
"mu[137] NA",0.247225754733333,0.246829,0.245706452365885,15000,0.95,0.209587,0.285361,NA,NA,NA,NA,NA,NA,NA
"mu[138] NA",0.13021518534,0.129201,0.127027351268212,12530,0.95,0.0895735,0.169779,NA,NA,NA,NA,NA,NA,NA
"mu[139] NA",0.245661920866667,0.2453105,0.244377036697722,15000,0.95,0.210221,0.280574,NA,NA,NA,NA,NA,NA,NA
"mu[140] NA",0.1319139533,0.13086,0.128786870307549,11843,0.95,0.0921801,0.174479,NA,NA,NA,NA,NA,NA,NA
"mu[141] NA",0.2460862848,0.2455575,0.245133083334176,15000,0.95,0.197244,0.297074,NA,NA,NA,NA,NA,NA,NA
"mu[142] NA",0.2504377698,0.2501505,0.249712067412686,15000,0.95,0.209914,0.290378,NA,NA,NA,NA,NA,NA,NA
"mu[143] NA",0.2490999826,0.248803,0.250225480641521,15000,0.95,0.211224,0.285797,NA,NA,NA,NA,NA,NA,NA
"mu[144] NA",0.2730823426,0.272936,0.271432193649748,15042.9,0.95,0.24367,0.302049,NA,NA,NA,NA,NA,NA,NA
"mu[145] NA",0.128756777293333,0.127897,0.126752025725258,12426.5,0.95,0.0895295,0.171293,NA,NA,NA,NA,NA,NA,NA
"mu[146] NA",0.253772284733333,0.2535715,0.253458455517997,15491.3,0.95,0.213629,0.293781,NA,NA,NA,NA,NA,NA,NA
"mu[147] NA",0.129491292713333,0.1285595,0.1268984179964,11341,0.95,0.0892033,0.170423,NA,NA,NA,NA,NA,NA,NA
"mu[148] NA",0.240800410466667,0.24043,0.2404635782221,15752.6,0.95,0.189315,0.290701,NA,NA,NA,NA,NA,NA,NA
"mu[149] NA",0.277178502333333,0.277038,0.276822254451385,15000,0.95,0.246293,0.310348,NA,NA,NA,NA,NA,NA,NA
"mu[150] NA",0.1428542851,0.141984,0.140800768464273,13255.3,0.95,0.102669,0.183899,NA,NA,NA,NA,NA,NA,NA
"mu[151] NA",0.252762824466667,0.252244,0.250332230219665,15000,0.95,0.207472,0.30264,NA,NA,NA,NA,NA,NA,NA
"mu[152] NA",0.136593066446667,0.135657,0.133051433629114,13358.2,0.95,0.0968332,0.177342,NA,NA,NA,NA,NA,NA,NA
"mu[153] NA",0.234109175,0.233851,0.2361910817542,15000,0.95,0.193795,0.275849,NA,NA,NA,NA,NA,NA,NA
"mu[154] NA",0.269679976733333,0.269319,0.269804504781184,15000,0.95,0.232594,0.306817,NA,NA,NA,NA,NA,NA,NA
"mu[155] NA",0.129182062066667,0.128273,0.126730474245403,12687.2,0.95,0.0889374,0.170403,NA,NA,NA,NA,NA,NA,NA
"mu[156] NA",0.131343536473333,0.130383,0.128374070354569,11661.9,0.95,0.0910876,0.172776,NA,NA,NA,NA,NA,NA,NA
"mu[157] NA",0.128210249486667,0.127394,0.125527627209234,12705,0.95,0.0886177,0.169752,NA,NA,NA,NA,NA,NA,NA
"mu[158] NA",0.261824459333333,0.261369,0.258009498591635,15000,0.95,0.22124,0.306425,NA,NA,NA,NA,NA,NA,NA
"mu[159] NA",0.275522688066667,0.275251,0.274245355485381,15000,0.95,0.245942,0.30557,NA,NA,NA,NA,NA,NA,NA
"mu[160] NA",0.230543916733333,0.2301545,0.231228385971706,14095.2,0.95,0.18436,0.27697,NA,NA,NA,NA,NA,NA,NA
"mu[161] NA",0.12969400608,0.1287025,0.124089098610731,11543.8,0.95,0.0903463,0.171361,NA,NA,NA,NA,NA,NA,NA
"mu[162] NA",0.275494925466667,0.2752575,0.275972543705537,15000,0.95,0.236195,0.311624,NA,NA,NA,NA,NA,NA,NA
"mu[163] NA",0.12939251638,0.128452,0.124827229815454,11696.3,0.95,0.0897645,0.171289,NA,NA,NA,NA,NA,NA,NA
"mu[164] NA",0.245509664466667,0.245168,0.24723350274828,14532.2,0.95,0.194332,0.294262,NA,NA,NA,NA,NA,NA,NA
"mu[165] NA",0.129409698653333,0.1283185,0.126244260037907,10643.3,0.95,0.0889461,0.170151,NA,NA,NA,NA,NA,NA,NA
"mu[166] NA",0.224503642666667,0.224144,0.222531430935548,15000,0.95,0.187874,0.262283,NA,NA,NA,NA,NA,NA,NA
"mu[167] NA",0.128322754353333,0.1276015,0.126379941350384,11032.3,0.95,0.0889544,0.168559,NA,NA,NA,NA,NA,NA,NA
"mu[168] NA",0.223686612933333,0.223408,0.223506207561712,14619.8,0.95,0.180938,0.267517,NA,NA,NA,NA,NA,NA,NA
"mu[169] NA",0.132094617706667,0.1312765,0.129985819042041,12499.6,0.95,0.0917921,0.173275,NA,NA,NA,NA,NA,NA,NA
"mu[170] NA",0.1294214221,0.1285295,0.127664143483723,11849.5,0.95,0.0891389,0.170015,NA,NA,NA,NA,NA,NA,NA
"mu[171] NA",0.12610544818,0.125378,0.125124027848576,12829,0.95,0.0889536,0.167081,NA,NA,NA,NA,NA,NA,NA
"mu[172] NA",0.127945731646667,0.126928,0.121314931493941,11499.3,0.95,0.0881499,0.168865,NA,NA,NA,NA,NA,NA,NA
"mu[173] NA",0.129267484133333,0.128117,0.125538607175663,13334.8,0.95,0.0919641,0.172914,NA,NA,NA,NA,NA,NA,NA
"mu[174] NA",0.2781449118,0.27785,0.277200445066722,14245.5,0.95,0.244211,0.310963,NA,NA,NA,NA,NA,NA,NA
"mu[175] NA",0.2372749266,0.2367765,0.235820619483838,15000,0.95,0.187806,0.28636,NA,NA,NA,NA,NA,NA,NA
"mu[176] NA",0.224977268133333,0.224608,0.226152464040536,15000,0.95,0.182333,0.268686,NA,NA,NA,NA,NA,NA,NA
"mu[177] NA",0.251513759133333,0.2510835,0.248885302231386,15000,0.95,0.206802,0.297986,NA,NA,NA,NA,NA,NA,NA
"mu[178] NA",0.269267887533333,0.2686605,0.266350179038361,15000,0.95,0.226336,0.311802,NA,NA,NA,NA,NA,NA,NA
"mu[179] NA",0.127566916786667,0.126805,0.125492562246587,11136.8,0.95,0.0909241,0.166741,NA,NA,NA,NA,NA,NA,NA
"mu[180] NA",0.129470982346667,0.1286185,0.126810069913787,11294.5,0.95,0.0904321,0.170598,NA,NA,NA,NA,NA,NA,NA
"mu[181] NA",0.247525304333333,0.247034,0.244499163570749,15000,0.95,0.203649,0.295452,NA,NA,NA,NA,NA,NA,NA
"mu[182] NA",0.12640628796,0.125649,0.121069941067228,13511.9,0.95,0.0898092,0.163515,NA,NA,NA,NA,NA,NA,NA
"mu[183] NA",0.241971659866667,0.241333,0.243920220217555,14241,0.95,0.192475,0.29227,NA,NA,NA,NA,NA,NA,NA
"mu[184] NA",0.235889164266667,0.235577,0.236559560775848,15000,0.95,0.191389,0.280848,NA,NA,NA,NA,NA,NA,NA
"mu[185] NA",0.2569159364,0.256663,0.25849304267072,16509.6,0.95,0.213058,0.302313,NA,NA,NA,NA,NA,NA,NA
"mu[186] NA",0.247347213,0.2470805,0.245964502341114,15000,0.95,0.217928,0.276262,NA,NA,NA,NA,NA,NA,NA
"mu[187] NA",0.287488145266667,0.2872775,0.285126129729643,15000,0.95,0.255451,0.321133,NA,NA,NA,NA,NA,NA,NA
"mu[188] NA",0.248474717466667,0.248109,0.247331563611458,15000,0.95,0.216255,0.28008,NA,NA,NA,NA,NA,NA,NA
"mu[189] NA",0.2614925656,0.2610825,0.259606136860621,15000,0.95,0.217849,0.305562,NA,NA,NA,NA,NA,NA,NA
"mu[190] NA",0.259284248466667,0.258902,0.256001085620807,15000,0.95,0.226948,0.290625,NA,NA,NA,NA,NA,NA,NA
"mu[191] NA",0.277904359533333,0.2775075,0.274986760468683,15000,0.95,0.240087,0.314651,NA,NA,NA,NA,NA,NA,NA
"mu[192] NA",0.2598071254,0.2594145,0.258331689348401,14807.5,0.95,0.230794,0.289497,NA,NA,NA,NA,NA,NA,NA
"mu[193] NA",0.129349314186667,0.1283235,0.124821792105667,11100.8,0.95,0.0896459,0.172127,NA,NA,NA,NA,NA,NA,NA
"mu[194] NA",0.245505275733333,0.245035,0.244540802567801,15000,0.95,0.201543,0.286735,NA,NA,NA,NA,NA,NA,NA
"mu[195] NA",0.259562146733333,0.259478,0.260078321888325,15000,0.95,0.225669,0.29358,NA,NA,NA,NA,NA,NA,NA
"mu[196] NA",0.12181859794,0.121015,0.116350060955788,13454.4,0.95,0.0867819,0.15841,NA,NA,NA,NA,NA,NA,NA
"mu[197] NA",0.242052226533333,0.241605,0.244788534826476,15000,0.95,0.193776,0.292321,NA,NA,NA,NA,NA,NA,NA
"mu[198] NA",0.2321417436,0.231877,0.23432211119804,15000,0.95,0.189365,0.276377,NA,NA,NA,NA,NA,NA,NA
"mu[199] NA",0.245618391666667,0.2449245,0.244013306490841,14429.6,0.95,0.195136,0.297922,NA,NA,NA,NA,NA,NA,NA
"mu[200] NA",0.239414647933333,0.239284,0.239328095180074,15000,0.95,0.200704,0.277897,NA,NA,NA,NA,NA,NA,NA
"mu[201] NA",0.12841953096,0.12744,0.126265943352999,11457.4,0.95,0.0885924,0.169013,NA,NA,NA,NA,NA,NA,NA
"mu[202] NA",0.246739170666667,0.246186,0.240516341720656,15000,0.95,0.200596,0.293377,NA,NA,NA,NA,NA,NA,NA
"mu[203] NA",0.250912307133333,0.2506335,0.249247007687488,15000,0.95,0.198733,0.298833,NA,NA,NA,NA,NA,NA,NA
"mu[204] NA",0.132106506013333,0.1312155,0.129725284624007,11677,0.95,0.0903493,0.172452,NA,NA,NA,NA,NA,NA,NA
"mu[205] NA",0.264398470933333,0.2643,0.26459868129111,15391.5,0.95,0.233923,0.295162,NA,NA,NA,NA,NA,NA,NA
"mu[206] NA",0.236592857333333,0.2363635,0.235846925993768,15000,0.95,0.207131,0.266513,NA,NA,NA,NA,NA,NA,NA
