"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[836] NA",0.241375276066667,0.240948,0.241065534026704,15000,0.95,0.200753,0.284313,NA,NA,NA,NA,NA,NA,NA
"mu[837] NA",0.236027885466667,0.2356675,0.233985895331047,16518.9,0.95,0.195876,0.274125,NA,NA,NA,NA,NA,NA,NA
"mu[838] NA",0.129431947026667,0.128515,0.123663565657823,11604.9,0.95,0.0897273,0.170654,NA,NA,NA,NA,NA,NA,NA
"mu[839] NA",0.15128524728,0.1505965,0.149202266901199,13590.5,0.95,0.111763,0.192133,NA,NA,NA,NA,NA,NA,NA
"mu[840] NA",0.229297055466667,0.229049,0.226855260524616,15000,0.95,0.199836,0.259551,NA,NA,NA,NA,NA,NA,NA
"mu[841] NA",0.140972745933333,0.1402255,0.140645848851742,11713.5,0.95,0.101463,0.182835,NA,NA,NA,NA,NA,NA,NA
"mu[842] NA",0.128643366513333,0.1277135,0.128165608442017,12230.6,0.95,0.0893566,0.169471,NA,NA,NA,NA,NA,NA,NA
"mu[843] NA",0.2526507188,0.2520595,0.250491680643738,15000,0.95,0.211548,0.298282,NA,NA,NA,NA,NA,NA,NA
"mu[844] NA",0.2758268704,0.275431,0.27360465189521,15098,0.95,0.24651,0.305619,NA,NA,NA,NA,NA,NA,NA
"mu[845] NA",0.2377367016,0.237593,0.239371945643117,14577.4,0.95,0.206534,0.270087,NA,NA,NA,NA,NA,NA,NA
"mu[846] NA",0.12880324816,0.1280965,0.128506453159567,10947,0.95,0.0882048,0.169507,NA,NA,NA,NA,NA,NA,NA
"mu[847] NA",0.2595868508,0.2592575,0.257350423271895,15400.8,0.95,0.220118,0.29946,NA,NA,NA,NA,NA,NA,NA
"mu[848] NA",0.267748064133333,0.267443,0.26524029066404,15000,0.95,0.23777,0.299344,NA,NA,NA,NA,NA,NA,NA
"mu[849] NA",0.250541468066667,0.250385,0.251793020987644,15000,0.95,0.215623,0.285021,NA,NA,NA,NA,NA,NA,NA
"mu[850] NA",0.250940662733333,0.250473,0.250117509891593,14624.5,0.95,0.200355,0.301897,NA,NA,NA,NA,NA,NA,NA
"mu[851] NA",0.2271592726,0.226958,0.227626884969465,15389.3,0.95,0.181151,0.273123,NA,NA,NA,NA,NA,NA,NA
"mu[852] NA",0.129210238926667,0.1282955,0.12685294408053,11873.7,0.95,0.0891579,0.169626,NA,NA,NA,NA,NA,NA,NA
"mu[853] NA",0.2518404214,0.251747,0.252272323213856,15000,0.95,0.220553,0.284154,NA,NA,NA,NA,NA,NA,NA
"mu[854] NA",0.2741413574,0.274006,0.275403203403296,15000,0.95,0.24245,0.307081,NA,NA,NA,NA,NA,NA,NA
"mu[855] NA",0.245845295733333,0.2451815,0.242104277917926,15000,0.95,0.196808,0.29771,NA,NA,NA,NA,NA,NA,NA
"mu[856] NA",0.242349389066667,0.2419425,0.240202834478939,15000,0.95,0.206021,0.279555,NA,NA,NA,NA,NA,NA,NA
"mu[857] NA",0.261488975,0.2611145,0.258139016225687,15000,0.95,0.226819,0.296771,NA,NA,NA,NA,NA,NA,NA
"mu[858] NA",0.237215185866667,0.2366185,0.234789077751725,15000,0.95,0.202248,0.271336,NA,NA,NA,NA,NA,NA,NA
"mu[859] NA",0.248715533866667,0.2485005,0.250342032700763,15000,0.95,0.200763,0.300005,NA,NA,NA,NA,NA,NA,NA
"mu[860] NA",0.253417775133333,0.25314,0.25452208487387,15000,0.95,0.212378,0.294174,NA,NA,NA,NA,NA,NA,NA
"mu[861] NA",0.13110614526,0.1300545,0.125360048328534,12880,0.95,0.0899942,0.170954,NA,NA,NA,NA,NA,NA,NA
"mu[862] NA",0.243057655133333,0.242796,0.244869972444412,15000,0.95,0.197351,0.288505,NA,NA,NA,NA,NA,NA,NA
"mu[863] NA",0.134725203126667,0.133805,0.132986363942852,11171,0.95,0.0952056,0.178235,NA,NA,NA,NA,NA,NA,NA
"mu[864] NA",0.235310358733333,0.2351215,0.234583495792607,15000,0.95,0.196833,0.274003,NA,NA,NA,NA,NA,NA,NA
"mu[865] NA",0.242411732466667,0.2421485,0.241231329623445,13835.6,0.95,0.210286,0.276499,NA,NA,NA,NA,NA,NA,NA
"mu[866] NA",0.132588873393333,0.13166,0.131160646182552,12009.1,0.95,0.0934879,0.173416,NA,NA,NA,NA,NA,NA,NA
"mu[867] NA",0.257980514333333,0.2573895,0.257924054068358,15000,0.95,0.212384,0.303279,NA,NA,NA,NA,NA,NA,NA
"mu[868] NA",0.2230670332,0.2225195,0.218643420346047,15000,0.95,0.179905,0.263994,NA,NA,NA,NA,NA,NA,NA
"mu[869] NA",0.247853083066667,0.2472185,0.244269339397619,15000,0.95,0.200767,0.299534,NA,NA,NA,NA,NA,NA,NA
"mu[870] NA",0.303638809066667,0.3034335,0.303087055375978,15000,0.95,0.272854,0.335609,NA,NA,NA,NA,NA,NA,NA
"mu[871] NA",0.262572566733333,0.2622895,0.262427043031693,15529.8,0.95,0.232944,0.293275,NA,NA,NA,NA,NA,NA,NA
"mu[872] NA",0.2644790724,0.2639895,0.263621138707076,15000,0.95,0.223431,0.305147,NA,NA,NA,NA,NA,NA,NA
"mu[873] NA",0.123720717006667,0.12298,0.126286413118228,11699.5,0.95,0.0851708,0.162815,NA,NA,NA,NA,NA,NA,NA
"mu[874] NA",0.257535690866667,0.256892,0.255066023422704,15000,0.95,0.217202,0.299117,NA,NA,NA,NA,NA,NA,NA
"mu[875] NA",0.230458196066667,0.230258,0.230118867908013,15000,0.95,0.200161,0.259275,NA,NA,NA,NA,NA,NA,NA
"mu[876] NA",0.250343213066667,0.250084,0.247565502888264,15404.6,0.95,0.221258,0.27924,NA,NA,NA,NA,NA,NA,NA
"mu[877] NA",0.273069291133333,0.2728395,0.272052297998213,15000,0.95,0.242798,0.303996,NA,NA,NA,NA,NA,NA,NA
"mu[878] NA",0.233664805666667,0.233155,0.231280217783062,15000,0.95,0.19321,0.273489,NA,NA,NA,NA,NA,NA,NA
"mu[879] NA",0.253371952066667,0.2529475,0.252766724148619,14260.3,0.95,0.217071,0.288563,NA,NA,NA,NA,NA,NA,NA
"mu[880] NA",0.239026961933333,0.238896,0.239976758436116,16091.5,0.95,0.204491,0.276359,NA,NA,NA,NA,NA,NA,NA
"mu[881] NA",0.2473883084,0.247375,0.248540551612238,15000,0.95,0.207582,0.285659,NA,NA,NA,NA,NA,NA,NA
"mu[882] NA",0.231298642866667,0.2311675,0.233131298980421,15000,0.95,0.192825,0.270599,NA,NA,NA,NA,NA,NA,NA
"mu[883] NA",0.232867613866667,0.23249,0.230693779571261,14363.5,0.95,0.193144,0.273809,NA,NA,NA,NA,NA,NA,NA
"mu[884] NA",0.2442197946,0.244023,0.24877983222429,15000,0.95,0.1969,0.291456,NA,NA,NA,NA,NA,NA,NA
