y[,1] y[,2] sex[]
2.623526 2.639762 0
2.976234 3.07418 1
2.377397 2.894565 1
1.979405 1.695414 0
1.600416 2.929442 1
3.081708 2.59894 0
2.377397 2.834848 0
1.618111 1.695414 1
1.152542 1.184588 0
1.382545 1.47227 0
1.723472 2.560411 0
2.685698 2.639762 0
2.133668 2.128937 1
2.78213 2.80067 1
2.100879 1.932922 0
2.005569 2.310188 1
1.918557 1.946615 0
1.838496 1.946615 0
1.983096 1.505316 0
2.081923 1.550388 1
2.2541 1.89913 1
1.839514 1.723472 1
1.407732 1.5311 0
2.377098 2.100879 1
1.617452 1.700714 0
2.545564 1.059883 1
3.005793 2.226042 1
1.723472 1.800774 1
2.128937 2.081076 0
2.6082 2.745123 1
2.059944 2.084749 1
2.516464 1.776671 0
2.154247 1.838496 1
2.570882 2.600533 0
1.079115 1.47227 1
2.35208 1.918557 0
1.723472 2.226042 1
2.150437 1.897538 0
1.790724 1.682649 1
1.775456 2.059944 1
1.366797 1.264631 0
2.011154 2.349339 0
2.036162 1.942161 1
2.794026 1.58994 1
2.283087 2.215798 0
1.407732 2.041925 1
1.618111 1.604394 0
1.946615 2.977943 0
1.338739 1.468579 0
2.611704 1.902083 1
1.785026 2.488939 0
2.611704 2.600533 1
2.122499 2.243968 0
1.813197 1.565647 1
1.561882 1.54554 0
1.64412 2.145466 1
2.272026 2.70601 1
3.042484 3.332909 1
2.206239 2.347403 1
2.646936 2.031886 0
1.744204 2.059944 1
2.34904 1.723472 0
2.100879 2.360313 1
2.337267 2.193475 1
1.956296 1.927188 0
2.496294 2.271593 0
1.863831 1.366796 1
2.559712 2.572475 0
1.47227 1.435789 0
1.170086 1.184588 0
1.790724 1.079115 0
2.208979 1.751503 0
1.54881 1.576868 0
1.695414 2.08971 0
2.034901 2.467118 1
1.417766 0.9910637 0
1.500328 1.932854 1
2.386675 2.419575 1
2.048449 2.153471 0
2.224865 2.116864 1
1.407732 2.126844 0
2.349339 2.377397 1
3.091277 3.332909 1
2.517154 2.667792 0
2.388561 2.59894 1
1.858854 1.927772 0
1.407732 1.435789 0
2.100879 2.128937 1
2.166666 2.215798 1
2.462229 2.621655 1
1.985836 1.695414 1
3.215127 2.202231 1
2.100879 2.006317 0
2.088115 1.89098 0
2.65571 2.670066 0
2.388561 2.822084 1
1.723472 1.957778 1
2.128937 1.914549 0
2.416619 2.388561 1
2.041925 2.324022 0
2.658588 2.208979 1
2.642159 3.147844 1
1.618111 2.052088 0
2.231556 2.377397 0
2.820244 3.150701 1
2.395887 1.841254 1
1.532895 1.723472 0
2.272026 2.243968 0
1.988083 1.723472 0
1.170086 1.896721 0
1.170086 1.823807 1
1.278746 2.3493 0
2.206239 2.234297 1
2.656824 2.194516 1
1.946172 1.895322 0
1.435789 1.440521 1
1.860621 1.47227 1
1.212646 1.264631 1
2.126189 1.818782 0
1.723472 1.407732 0
2.506344 2.782858 1
2.174986 2.378397 1
2.490948 2.465409 1
1.435789 1.590053 1
1.698154 1.744204 0
1.47227 1.292689 0
1.578879 2.215798 1
1.461091 1.761534 0
2.243856 2.388561 0
2.349339 1.672178 0
1.47227 2.254688 1
1.991726 2.048223 1
2.349339 2.377397 0
2.782858 2.669806 1
1.318006 1.338739 0
2.037584 2.193475 1
2.731566 2.703508 1
2.293251 2.531731 1
1.749139 1.957778 0
1.864971 1.64412 0
1.380703 1.500328 1
2.735072 2.7548 1
2.794026 1.905793 0
2.377397 2.555188 1
2.349339 2.243856 0
2.239285 2.267522 1
2.459678 1.454252 0
1.863233 1.877735 1
1.338739 1.366797 0
1.407732 1.212646 1
2.665075 2.637017 1
2.416619 2.388561 0
2.324022 1.756261 0
2.457441 2.667792 1
2.255029 2.288785 0
1.590053 1.408761 0
1.617452 1.462107 0
1.814226 2.084072 0
2.110857 2.858564 0
2.128937 1.918557 1
1.695414 1.560953 0
1.488131 1.393823 1
1.030324 1.002266 0
2.019866 2.255029 1
1.265396 2.466678 0
2.559714 2.685809 1
2.571923 2.862906 1
1.584209 2.320014 1
